Titles,Reviews
알테르 에고 (Alter Ego),호불호가 극명할듯난 극 불호구구절절 왜케 설명을 해대는지
알테르 에고 (Alter Ego),어른스러운 남주와 여주를 보니 뭔가 힐링되는 느낌이라 좋았는데 갑자기 주인공 두명이 아닌 다른 인물들과 영화 캐릭터가 너무 많이 나와서 당황스러워요 저만 그럴까요 
알테르 에고 (Alter Ego),이번작품은 안읽히네요너무 재미가 없어서 중도하차
알테르 에고 (Alter Ego),함 읽어볼까 하고 시작했다 섬세한 표현에 푹 빠져 정독합니다
알테르 에고 (Alter Ego),잔잔하면서도 맴을울리네요
알테르 에고 (Alter Ego),이야기 잔잔하면서 꼼꼼하게 펼쳐져서 너무 재밌고 잘 읽힙니다 어른들 이야기라 유치하지 않아 너무 좋았습니다 무게감 있고 집중됩니다
알테르 에고 (Alter Ego),의젓하고 성숙한 어른들의 이야기예요 잔잔하게 잘 보고 있어요
알테르 에고 (Alter Ego),화까지 봤어요 다정한 어른들의 대화가 기분 좋게 간지러운 글입니다 작가님 신작 런칭 축하드려요
알테르 에고 (Alter Ego),캐릭터 좋구요뭔가 진짜 어른들의 연애 같아서 두근두근하면서 보고있어요
알테르 에고 (Alter Ego),여주와 남주를 지켜보는 것이 이렇게 참 마음이 다 좋아지네요
알테르 에고 (Alter Ego),달달하니 앞으로 이야기가 기대되네요
알테르 에고 (Alter Ego),차와 카페를 이야기와 다정하고 상식적인 어른남주가 취향이었어요 상처많은 두사람의 다정한 사랑이야기를 매력적으로 잘쓴 작품
알테르 에고 (Alter Ego),우우 남주 개스잘생김
알테르 에고 (Alter Ego),잔잔하면서 몰입되는 스토리가 요즘에 끌려서 재미있게 봤습니다 다정한 사람들의 사랑을 볼 수 있어서 설레네요 
알테르 에고 (Alter Ego),잔잔한 일상물이지만 지루하지않고 술술 읽혀요 남주가 다정해서 너무 좋네요 힐링되는 느낌 
알테르 에고 (Alter Ego),재미있어요 추천합니다 잘봤습니다 캐릭터들이 매력있고 관계성이 좋아요
알테르 에고 (Alter Ego),넘 좋습니다 잘볼게요
알테르 에고 (Alter Ego),읽는내내 소설이 햇살 같다는 생각을 계속 했네요
알테르 에고 (Alter Ego),어른들의 연애라 설레요
알테르 에고 (Alter Ego),술술 읽히고 너무 재밌어요
알테르 에고 (Alter Ego),여주 남주 관계성이 취저에요 
알테르 에고 (Alter Ego),캐릭터들이 매력있고 재밌어요
알테르 에고 (Alter Ego),재하 성격이 참 좋네요 시작은 우연이었어도 우연이 겹치다보니 인연으로 되겠어요
알테르 에고 (Alter Ego),남주가 넘 다정해서 계속 보게됨 
알테르 에고 (Alter Ego),다정남 좋아요 재미있어요
알테르 에고 (Alter Ego),전잭 재밌게 읽어서 기대됩니다 
알테르 에고 (Alter Ego),흥미롭고 재미있어요
알테르 에고 (Alter Ego),재하랑 지하가 상황이 서로 다른데 그 다른점으로 인해서 서로 보완을 잘 해줄거같아서 넘 기대되고 재밌을거같아요 
알테르 에고 (Alter Ego),재하가 따뜻하고 다정한 남주라서 일단 마음편하게 보고있어요
알테르 에고 (Alter Ego),블렌딩 하는 얘기가 꽤 많이 나와요 잔잔하고 남주가 다정함
알테르 에고 (Alter Ego),잔잔하게 흘러가면서도 재미있어요
알테르 에고 (Alter Ego),잔잔하니 읽기 좋네요 재밌게 보고있습니다
알테르 에고 (Alter Ego),좋아하는 작가님 신작이라 흥미진진
알테르 에고 (Alter Ego),설정이 신선하고 흥미로워서 재밌게 봤습니다 캐릭터들이 매력있고 관계성이 좋아서 흥미진진합니다
알테르 에고 (Alter Ego),요즘 트렌드와 다르게 다정하고 다감한 남주네요 음흉함도 없고 여주 응원하는 모습이 보기 좋아요
알테르 에고 (Alter Ego),몽글몽글한게 재밌어요
알테르 에고 (Alter Ego),재밌게 잘봤습니다
알테르 에고 (Alter Ego),다정남 좋아하는데 재밌어요
알테르 에고 (Alter Ego),작품 인물들의 사연도 그렇고 분위기도 좋고 재미있습니다
야만의 습성(15세 개정판),앞으로 이야기가 넘 궁금하고 흥미롭네요
야만의 습성(15세 개정판),아는 맛인데 재밌어요
야만의 습성(15세 개정판),여주가 강단있어서 좋아요 남주 후회하길 기다려봅니다
야만의 습성(15세 개정판),등장인물들이 입체적이고 재밌어요 
야만의 습성(15세 개정판),재미있어요 전체적으로 만족스럽네요
야만의 습성(15세 개정판),계략남 후회남 좋아해서 재밌게 잘 읽었어요
야만의 습성(15세 개정판),은재가 우창에게휘둘릴것 같아 걱정이네요그래도 클리셰라 보는 재미가 있어요
야만의 습성(15세 개정판),나중에 후회나 실컷 해라
야만의 습성(15세 개정판),잘 봤어요 남주여주 어울려요
야만의 습성(15세 개정판),키워드 좋고 재밌어 보여요
야만의 습성(15세 개정판),몸정 맘정 클리셰는 언제 읽어도 짜릿하네요 
야만의 습성(15세 개정판),좋아하는 작가님이라 넘 기대돼요
야만의 습성(15세 개정판),취향인 설정이 있어서 재미있어요
야만의 습성(15세 개정판),케미가 조아요
야만의 습성(15세 개정판),좋아하는 키워드인데 갈수록 재밌어요
야만의 습성(15세 개정판),남주 여주 좋아하는 스타일이네요
야만의 습성(15세 개정판),서사와 스토리 마음에 듭니다
야만의 습성(15세 개정판),차분한 성격의 은재가 매력있네요
야만의 습성(15세 개정판),남주 성깔이 참 고약하다
야만의 습성(15세 개정판),여주 매력 있고 재미있어요
야만의 습성(15세 개정판),관계성 감정선 서사 탄탄한 편이에요
야만의 습성(15세 개정판),남주 후회하는 거 너무 좋아여 
야만의 습성(15세 개정판),재밌어서 시간 가는 줄 모르고 읽었어요
야만의 습성(15세 개정판),몰입이 잘 돼서 술술 읽었네요
야만의 습성(15세 개정판),재밌게 잘 봤습니다 전개 속도도 좋아요
야만의 습성(15세 개정판),관계가 너무 취향이네요
야만의 습성(15세 개정판),남자 주인공 좋아하는 스타일이에요
야만의 습성(15세 개정판),주인공 매력이 넘쳐서 재밌어요
야만의 습성(15세 개정판),키워드 좋은데 스토리도 재미있어요
야만의 습성(15세 개정판),착한여주 좋아해서 재밌어용
야만의 습성(15세 개정판),키워드 끌려서 봤는데 기대보다 재밌어요
야만의 습성(15세 개정판),캐릭터 좋고 스토리 흥미진진해서 잘봤어요
야만의 습성(15세 개정판),등장인물들의 감정선이 흥미로워요
야만의 습성(15세 개정판),취향이라 다음 편도 기대됩니다
야만의 습성(15세 개정판),두 사람 다 매력 있는 캐릭터라 재밌어요
야만의 습성(15세 개정판),표지랑 스토리랑 잘 맞아요 
야만의 습성(15세 개정판),좋아하는 설정이 많아서 재밌게 읽고 있습니다
야만의 습성(15세 개정판),점점 재밌네요 남주 여주 사이 텐션도 좋아요
야만의 습성(15세 개정판),너무 재밌어요 다음화도 빨리 보고 싶어요
야만의 습성(15세 개정판),설정 소재 취향이라서 잘 보고 있어요
야만의 습성(15세 개정판),남주가 좋아하는 타입이라 기대되네요 
야만의 습성(15세 개정판),킬링타임용으로 괜찮습니다 재밌게 읽었습니다
야만의 습성(15세 개정판),술술 봤어요 등장인물들이 매력 있어요
야만의 습성(15세 개정판),후회남 좋아해서 취향저격입니다 
야만의 습성(15세 개정판),갈수록 재밌어서 계속 보게 돼요
야만의 습성(15세 개정판),재밌게 보고 있어요 스토리 좋네요
야만의 습성(15세 개정판),주인공들의 감정 변화가 흥미진진합니다
야만의 습성(15세 개정판),키워드 보고 시작했는데 생각보다 재밌어요
야만의 습성(15세 개정판),표지도 예쁘고 스토리도 재밌게 보고 있어요
"헤어짐으로, 부터 (15세 이용가)",나쁜남자의 정석이네요 가까이 있으때 소중함을 모르죠있으때 잘 하지
"헤어짐으로, 부터 (15세 이용가)",재미있을 것 같아요
"헤어짐으로, 부터 (15세 이용가)",클리셰지만 워낙 글을 잘쓰셔서 재밌어요 
"헤어짐으로, 부터 (15세 이용가)",남주와의 평범한 드라이브가 자신에게 주는 선물같아 꿈 같은 하루라고 하는 여주가 가엾고 안타까워서 읽으면서 눈물이 핑 돌았어요여주의 임신이 전환점이 되었을 수도 있지만 남주도 여주에 대한 감정을 이제라도 깨닫게 되어 다행이네요게다가 여주가 입으라고 주는 대게 티셔츠도 입고 딸기도 씻어주고 다정한 면이 보여서 위로가 되었어요 다음화가 궁금해져서 연재 따라가요
"헤어짐으로, 부터 (15세 이용가)",가볍게 시작했는데 생각보다 재밌습니다
"헤어짐으로, 부터 (15세 이용가)",예상 가능한 전개인데 캐디가 좋아서 재밌어요
"헤어짐으로, 부터 (15세 이용가)",작가님 글 너무 좋네요빠져들어서 읽게돼요
"헤어짐으로, 부터 (15세 이용가)",감정선이 섬세해서 잘 보고 있어요
"헤어짐으로, 부터 (15세 이용가)",잔잔물 좋아해서 시간 가는 줄 모르고 읽었어요
"헤어짐으로, 부터 (15세 이용가)",작가님 작품 첨인데 넘 재밌어요
"헤어짐으로, 부터 (15세 이용가)",재밌게 잘 봤습니다 텐션이 좋아요
"헤어짐으로, 부터 (15세 이용가)",등장인물 개성 있고 케미가 좋아요
"헤어짐으로, 부터 (15세 이용가)",계약결혼 좋아하는데 재밌네요
"헤어짐으로, 부터 (15세 이용가)",헤어짐후의 두 사람이 다시 만나게 된 후 이야기 궁금하고 기대되네요
"헤어짐으로, 부터 (15세 이용가)",서사 탄탄해서 흡입력 있어요
"헤어짐으로, 부터 (15세 이용가)",남주가 변해가는 모습이 좋네요 재밌게 읽고 있어요
"헤어짐으로, 부터 (15세 이용가)",나쁜 남자가 후회하는 건 언제나 옳아요
"헤어짐으로, 부터 (15세 이용가)",베이비메신저 설정도 들어있고 흥미진진해요
"헤어짐으로, 부터 (15세 이용가)",남주가 나쁜데 섹시한 캐릭터에요
"헤어짐으로, 부터 (15세 이용가)",재밌고 감정 변화가 흥미로워요 
"헤어짐으로, 부터 (15세 이용가)",정말 제대로 로맨스의 정수
"헤어짐으로, 부터 (15세 이용가)",재밌어요 남주 여주 매력적인 캐릭터에요
"헤어짐으로, 부터 (15세 이용가)",등장인물 매력이 넘치네요
"헤어짐으로, 부터 (15세 이용가)",시작이 흥미롭네요 재밌게 볼게요
